track_name,artist,album,duration_min,release_year,popularity
457,409,610,3.018666666666667,2019,79
227,409,208,2.9243166666666665,2024,90
664,467,34,3.5937666666666668,2020,87
63,422,73,3.4650666666666665,2018,76
264,267,209,1.53115,2019,78
845,143,759,3.722383333333333,2023,68
123,467,463,3.806216666666667,2018,86
777,181,692,2.2903166666666666,2025,56
555,353,490,2.717233333333333,2023,74
887,40,796,3.101766666666667,2019,80
367,111,331,3.236733333333333,2017,53
783,450,622,4.428,2010,49
647,455,576,3.778966666666667,2015,81
423,303,384,3.3801,2010,3
528,47,289,2.9126666666666665,2020,74
708,239,551,3.346433333333333,2015,86
661,488,586,1.52885,2019,1
208,222,43,3.5417666666666667,2009,80
540,226,87,3.8813333333333335,2013,46
24,53,67,3.008,2010,76
738,240,251,4.216216666666667,2006,71
719,363,219,3.802216666666667,2014,84
883,176,792,2.810016666666667,2021,76
506,351,82,3.583333333333333,2021,38
821,290,747,3.490133333333333,2024,37
740,269,114,4.423783333333334,2012,85
838,276,754,2.953333333333333,2020,61
655,250,302,4.982216666666667,1985,11
761,450,666,2.984433333333333,2006,55
910,40,813,3.4553333333333334,2019,81
326,277,297,2.706383333333333,2025,37
249,93,6,3.4402166666666667,2012,86
414,392,375,1.5807166666666668,2024,41
765,260,437,3.22155,2020,67
362,210,355,2.694233333333333,2019,32
675,184,599,2.944433333333333,2024,37
392,491,357,3.1003666666666665,2018,73
120,72,273,5.057333333333333,2024,90
716,467,629,1.8604333333333332,2016,82
795,504,716,2.01665,2023,65
736,233,278,3.0171,2019,80
752,112,757,3.54555,2018,80
58,212,388,2.7260166666666668,2024,70
623,23,557,2.330866666666666,2025,37
872,113,527,4.4462166666666665,2000,92
147,49,398,4.0751,2002,85
756,445,660,2.1603833333333333,2024,37
272,108,132,3.626216666666666,1999,81
732,253,639,3.6991,2011,77
279,49,680,3.61,2007,78
234,118,216,2.9777666666666667,2025,51
694,20,386,3.539333333333333,2006,6
646,17,10,3.80155,2011,82
585,503,521,3.3947666666666665,2016,64
193,36,55,3.3906666666666667,1997,67
696,299,616,3.011483333333333,2024,34
273,115,253,3.4375,2024,30
526,312,462,3.1938833333333334,2024,36
618,172,718,3.993333333333333,2011,87
232,88,651,3.24355,2015,82
175,71,167,4.88555,2003,61
469,159,237,4.225333333333333,2018,81
316,17,11,4.925033333333333,2015,77
412,110,374,5.326,2016,41
103,206,111,2.7544,2022,77
71,36,55,3.299333333333333,1997,77
312,177,652,3.3061666666666665,2020,81
406,518,369,2.0191833333333333,2025,36
397,80,148,3.74155,2000,82
544,186,479,3.5858166666666667,2022,63
97,272,627,4.374433333333333,2007,80
534,94,575,2.8457666666666666,2019,75
43,143,46,4.155033333333333,2025,87
295,75,264,3.1666666666666665,2024,37
447,361,404,2.578116666666667,2024,32
602,323,150,2.997783333333333,2015,75
131,168,129,3.36955,2013,69
742,9,645,2.63675,2018,86
382,445,345,2.112,2024,38
843,195,756,4.506216666666667,1992,66
287,231,258,3.890933333333333,2022,36
797,258,719,2.75,2021,52
657,395,412,4.058883333333333,2010,74
648,36,55,3.76555,1997,60
634,21,268,4.51,2003,55
404,453,367,2.819233333333333,2021,68
314,183,193,3.980083333333333,2020,87
126,390,122,3.9886166666666663,2022,82
203,316,186,3.574666666666667,2016,2
