track_name_encoded,artist_encoded,album_encoded,release_year,duration_min
194,90,177,2021,4.578944444444445e-05
47,339,58,2017,5.112722222222222e-05
519,411,738,2011,5.273694444444444e-05
448,438,789,2017,5.8848055555555554e-05
463,438,225,2008,6.562944444444444e-05
632,108,607,2018,6.957111111111112e-05
63,438,7,2014,5.887027777777778e-05
86,368,771,2018,6.424055555555555e-05
618,80,286,2012,5.5818333333333334e-05
380,308,343,2016,5.4362777777777776e-05
442,25,352,2014,5.144444444444444e-05
721,154,625,2020,2.224444444444445e-05
876,500,792,2016,6.973138888888889e-05
593,222,521,2015,5.849444444444444e-05
806,128,169,2013,6.421472222222222e-05
756,417,687,2016,5.839611111111111e-05
113,153,268,2014,6.422527777777777e-05
619,494,394,2020,3.7745e-05
248,375,747,2016,5.667027777777778e-05
368,414,331,2019,5.3e-05
701,493,614,2017,5.835833333333333e-05
151,429,141,2019,5.828583333333333e-05
849,163,551,2015,6.238138888888888e-05
791,417,686,2016,6.0485e-05
480,506,416,2020,3.8010555555555556e-05
546,45,477,2018,5.181111111111111e-05
440,21,173,2018,5.4399999999999994e-05
303,128,169,2013,5.856666666666666e-05
11,38,790,2019,4.961833333333333e-05
610,280,538,2018,4.456777777777778e-05
348,262,321,2018,5.484333333333333e-05
889,38,526,2020,4.786777777777778e-05
734,45,283,2020,5.206555555555555e-05
841,438,7,2014,6.123333333333334e-05
556,94,488,2015,5.751888888888889e-05
891,38,790,2019,5.758888888888889e-05
598,278,253,2016,6.884444444444444e-05
739,337,420,2020,4.289861111111111e-05
838,411,738,2011,5.433694444444444e-05
400,255,362,2017,7.322138888888889e-05
175,21,173,2018,5.88e-05
458,394,403,2019,7.112277777777779e-05
491,385,389,2014,5.3814722222222216e-05
54,364,507,2021,4.731777777777777e-05
647,445,210,2021,3.939027777777778e-05
350,378,556,2013,5.315777777777778e-05
91,278,248,2015,5.8829444444444445e-05
827,352,713,2012,5.5551666666666665e-05
861,100,765,2017,5.594444444444444e-05
668,213,589,2015,5.212222222222222e-05
628,491,555,2017,6.0400000000000004e-05
682,45,283,2020,5.084055555555555e-05
146,128,140,2015,5.715138888888889e-05
0,121,2,2019,4.658138888888889e-05
531,90,121,2018,6.304805555555555e-05
85,405,95,2021,4.330083333333334e-05
492,312,654,2017,5.034444444444444e-05
875,351,569,2021,4.887027777777778e-05
881,351,569,2021,4.8100000000000004e-05
81,185,92,2021,3.915194444444444e-05
736,108,735,2018,5.90925e-05
844,410,752,2017,5.4998055555555556e-05
509,230,440,2021,5.656555555555555e-05
374,207,358,2021,3.6296111111111115e-05
847,384,24,2016,6.092222222222223e-05
815,99,470,2016,6.047388888888889e-05
138,442,134,2016,6.804444444444444e-05
389,256,351,2017,6.132777777777777e-05
200,306,183,2016,5.957777777777778e-05
780,250,698,2021,4.5833333333333334e-05
884,86,786,2021,5.2324444444444446e-05
34,21,47,2019,4.973666666666667e-05
297,449,1,2012,5.6259166666666665e-05
776,124,479,2012,6.806666666666666e-05
342,489,230,2017,6.823694444444445e-05
14,105,680,2012,8.497027777777777e-05
360,107,323,2017,5.394555555555555e-05
89,312,98,2015,4.896277777777777e-05
712,352,436,2013,6.81925e-05
65,32,607,2018,5.7273888888888885e-05
319,103,290,2017,5.523694444444445e-05
506,90,438,2021,5.657222222222222e-05
582,306,500,2012,6.421472222222222e-05
251,340,234,2019,5.222222222222222e-05
703,352,214,2014,6.337027777777777e-05
136,493,132,2012,7.539611111111111e-05
137,153,133,2018,5.07286111111111e-05
211,489,328,2018,6.638888888888889e-05
502,204,348,2020,4.542e-05
859,438,407,2019,4.76e-05
690,265,175,2019,5.0600000000000003e-05
339,149,309,2019,6.109611111111112e-05
383,233,346,2020,5.913e-05
166,460,158,2019,5.817722222222222e-05
424,83,385,2021,6.724888888888889e-05
180,201,439,2014,5.930361111111111e-05
864,170,769,2021,4.6833611111111114e-05
24,51,3,2019,5.00925e-05
807,200,599,2015,4.725166666666667e-05
28,21,173,2018,5.5244444444444445e-05
672,21,173,2018,5.216666666666666e-05
33,21,173,2018,4.456277777777778e-05
184,21,173,2018,6.675916666666668e-05
871,70,778,2019,6.817361111111112e-05
887,70,776,2017,5.566083333333333e-05
233,307,607,2018,5.628333333333333e-05
122,442,756,2019,6.0455555555555555e-05
691,442,605,2017,6.878500000000001e-05
32,442,43,2016,5.391111111111111e-05
769,442,590,2018,5.4985e-05
583,233,364,2021,5.50225e-05
717,38,623,2020,6.346722222222221e-05
609,233,536,2015,5.837777777777778e-05
757,410,238,2014,6.315555555555555e-05
641,14,39,2016,6.911833333333333e-05
879,496,784,2016,6.906472222222221e-05
687,108,735,2018,6.186277777777777e-05
365,270,326,2021,5.888888888888889e-05
23,219,36,2016,6.062055555555556e-05
4,97,117,2021,5.124388888888889e-05
381,217,226,2017,6.603333333333333e-05
681,417,601,2021,5.0076388888888885e-05
837,32,684,2021,4.2359166666666666e-05
457,48,402,2020,5.55e-05
802,413,724,2010,5.6285e-05
777,312,694,2015,4.853694444444444e-05
73,363,84,2018,5.1822222222222224e-05
674,126,595,2017,5.6173888888888885e-05
217,438,606,2010,9.783333333333333e-05
220,200,201,2021,4.816138888888889e-05
167,404,159,2019,5.492555555555555e-05
455,285,637,2017,6.89961111111111e-05
309,177,282,2021,4.869472222222222e-05
317,169,659,2017,7.4685e-05
169,389,161,2021,7.464361111111111e-05
12,496,18,2021,5.3156666666666665e-05
730,1,580,2018,5.423111111111111e-05
238,450,219,2018,3.921555555555555e-05
586,149,797,2017,7.316666666666667e-05
70,34,54,1997,5.498888888888888e-05
445,34,54,1997,6.017388888888888e-05
805,426,608,1996,4.806277777777778e-05
112,320,448,2010,6.242222222222221e-05
255,240,574,2013,5.5455555555555556e-05
476,152,410,2020,5.123527777777778e-05
636,34,54,1997,6.275916666666667e-05
190,34,54,1997,5.651111111111111e-05
104,138,113,2020,3.728861111111111e-05
888,388,501,2020,4.424805555555555e-05
496,434,636,2020,4.518888888888889e-05
64,374,74,2018,5.296472222222222e-05
779,130,696,2019,5.6512500000000005e-05
765,21,678,2017,5.3829722222222215e-05
302,90,121,2018,6.036277777777778e-05
660,414,585,2019,5.2999722222222225e-05
897,437,796,2020,4.7018055555555554e-05
846,278,753,2018,6.339055555555555e-05
555,404,487,2018,5.3055833333333335e-05
270,488,383,2013,4.27775e-05
613,39,543,2019,4.545444444444444e-05
590,235,519,2019,4.666e-05
475,2,638,2021,3.8279444444444434e-05
737,270,412,2021,3.9972500000000004e-05
845,138,517,2021,4.7951666666666664e-05
114,16,116,2016,6.259777777777778e-05
856,61,424,2019,4.437027777777778e-05
379,459,341,2019,6.0607777777777775e-05
109,161,220,2003,6.552583333333334e-05
38,26,50,2003,5.975166666666667e-05
62,410,71,2018,5.7751111111111106e-05
520,45,283,2020,4.8544444444444445e-05
489,296,125,2009,6.674444444444445e-05
234,439,27,2021,6.105611111111111e-05
376,142,577,2018,6.0534722222222226e-05
787,384,257,2008,7.666277777777778e-05
276,306,550,2018,6.542916666666666e-05
196,442,180,2016,5.788138888888889e-05
498,340,80,2021,5.972222222222222e-05
640,326,563,2017,6.877972222222221e-05
872,508,779,2021,3.205583333333333e-05
149,128,140,2015,5.9649722222222224e-05
804,190,781,2017,2.827472222222222e-05
425,263,386,2017,4.6436944444444445e-05
279,128,707,2011,5.7040555555555555e-05
398,282,360,2022,2.7002222222222225e-05
106,141,114,2022,4.2499999999999996e-05
